[1442169000] LOG ROTATION: DAILY
[1442169000] LOG VERSION: 2.0
[1442169000] CURRENT HOST STATE: ad.plank.life;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.75 ms
[1442169000] CURRENT HOST STATE: application.plank.life;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.16 ms
[1442169000] CURRENT HOST STATE: artifactory.plank.life;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.38 ms
[1442169000] CURRENT HOST STATE: cisco;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.74 ms
[1442169000] CURRENT HOST STATE: confluence.plank.life;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.38 ms
[1442169000] CURRENT HOST STATE: git.plank.life;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.43 ms
[1442169000] CURRENT HOST STATE: jenkins.plank.life;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.54 ms
[1442169000] CURRENT HOST STATE: jira.plank.life;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.50 ms
[1442169000] CURRENT HOST STATE: localhost;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.05 ms
[1442169000] CURRENT HOST STATE: mail.plank.life;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.40 ms
[1442169000] CURRENT SERVICE STATE: ad.plank.life;APT DISTRIBUTIONS;OK;HARD;1;APT OK: 0 packages available for dist-upgrade (0 critical updates).
[1442169000] CURRENT SERVICE STATE: ad.plank.life;APT PACKAGES;OK;HARD;1;APT OK: 0 packages available for upgrade (0 critical updates).
[1442169000] CURRENT SERVICE STATE: ad.plank.life;CHECK HEAP;UNKNOWN;HARD;3;(No output returned from plugin)
[1442169000] CURRENT SERVICE STATE: ad.plank.life;CHECK TOMCAT APPLICATION;UNKNOWN;HARD;3;(No output returned from plugin)
[1442169000] CURRENT SERVICE STATE: ad.plank.life;CHECK TOMCAT MEMORY/THREADS;UNKNOWN;HARD;3;(No output returned from plugin)
[1442169000] CURRENT SERVICE STATE: ad.plank.life;Current Load;OK;HARD;1;OK - load average: 0.02, 0.03, 0.05
[1442169000] CURRENT SERVICE STATE: ad.plank.life;Current Users;OK;HARD;1;USERS OK - 1 users currently logged in
[1442169000] CURRENT SERVICE STATE: ad.plank.life;DNS;OK;HARD;1;DNS OK: 0.068 seconds response time. www.google.com returns 216.58.196.100
[1442169000] CURRENT SERVICE STATE: ad.plank.life;DNS USING DIG;OK;HARD;1;DNS OK - 0.010 seconds response time (:: ANSWER SECTION:)
[1442169000] CURRENT SERVICE STATE: ad.plank.life;HTTP;OK;HARD;1;HTTP OK: HTTP/1.1 200 OK - 1665 bytes in 0.003 second response time
